Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE
Adam Fox,26,D,74,10,51,61,9,32,8,1,1,2,32,17,2,135,7.4,339,23:15,0,0,,108,40,40,76
Tomáš Hertl,31,C,73,32,29,61,-3,20,18,14,0,3,20,9,0,177,18.1,320,17:07,536,422,55.9,56,99,29,45
Jared McCann,28,C,82,22,39,61,8,18,18,4,0,3,26,12,1,202,10.9,418,17:13,109,135,44.7,50,47,29,66
Gabriel Vilardi,25,C,71,27,34,61,9,14,15,12,0,6,21,13,0,130,20.8,232,18:08,75,77,49.3,50,21,22,41
Kevin Fiala,28,LW,81,35,25,60,-7,38,21,14,0,6,14,11,0,244,14.3,517,18:31,15,22,40.5,22,63,30,88
Dylan Guenther,21,RW,70,27,33,60,-4,26,15,12,0,9,16,17,0,204,13.2,450,17:00,10,19,34.5,42,53,18,55
Marco Rossi,23,C,82,24,36,60,3,26,17,7,0,3,27,9,0,136,17.6,265,18:15,464,528,46.8,41,62,18,60
Anthony Cirelli,27,C,80,27,32,59,30,28,20,3,4,2,27,2,3,160,16.9,291,18:41,647,645,50.1,72,25,21,66
Patrick Kane,36,RW,72,21,38,59,-16,12,9,12,0,6,21,17,0,175,12,334,17:59,5,8,38.5,23,19,13,77
Vincent Trocheck,31,C,82,26,33,59,0,44,15,5,6,7,25,7,1,202,12.9,380,21:06,910,624,59.3,78,214,33,95
William Eklund,22,LW,77,17,41,58,-7,29,10,6,1,2,29,10,2,151,11.3,324,19:33,11,25,30.6,46,54,15,75
Matthew Knies,22,LW,78,29,29,58,7,43,24,5,0,6,18,10,1,152,19.1,258,18:31,0,1,0,41,182,14,51
Teuvo Teräväinen,30,F,82,15,43,58,-23,12,8,7,0,0,24,17,2,111,13.5,224,17:04,60,93,39.2,29,27,23,76
Pavel Buchnevich,29,LW,76,20,37,57,10,23,18,2,0,3,25,10,2,145,13.8,295,19:02,85,143,37.3,32,44,15,70
Morgan Geekie,26,C,77,33,24,57,3,22,29,4,0,4,19,5,0,150,22,307,16:55,173,201,46.3,29,110,31,51
Bo Horvat,29,C,81,28,29,57,-4,16,23,3,2,7,25,4,0,243,11.5,449,20:10,767,552,58.2,40,100,22,91
Kent Johnson,22,C,68,24,33,57,2,16,19,4,1,4,20,11,2,123,19.5,258,17:18,0,8,0,29,3,21,64
Connor McMichael,24,C,82,26,31,57,19,49,22,4,0,5,24,6,1,177,14.7,321,16:49,51,58,46.8,36,39,20,68
Sean Monahan,30,C,54,19,38,57,19,20,12,7,0,2,28,7,3,128,14.8,214,19:01,616,555,52.6,34,30,13,52
Jake Sanderson,22,D,80,11,46,57,-14,12,6,5,0,4,17,25,4,195,5.6,421,24:27:00,0,0,,163,38,53,98
Shea Theodore,29,D,67,7,50,57,18,26,5,2,0,2,33,17,0,128,5.5,333,22:00,0,0,,82,6,28,105
Matthew Tkachuk,27,LW,52,22,35,57,-3,54,11,11,0,2,23,12,0,156,14.1,316,18:14,1,4,20,12,84,10,47
Kirill Kaprizov,27,LW,41,25,31,56,19,16,21,4,0,5,21,10,0,145,17.2,311,22:28,0,2,0,17,16,12,59
Jonathan Marchessault,34,C,78,21,35,56,-29,37,17,4,0,4,16,19,0,206,10.2,381,17:59,17,50,25.4,25,77,10,89
Brock Nelson,33,C,80,26,30,56,8,18,20,3,3,7,26,4,0,193,13.5,360,18:55,630,579,52.1,43,35,40,50
Troy Terry,27,C,77,21,34,55,0,20,17,4,0,4,27,7,0,188,11.2,368,18:51,12,20,37.5,29,7,22,68
Brady Tkachuk,25,LW,72,29,26,55,0,123,15,14,0,5,17,9,0,296,9.8,506,18:14,178,169,51.3,33,228,19,48
Quinton Byfield,22,C,81,23,31,54,16,46,19,3,1,4,27,4,0,157,14.6,352,18:37,416,526,44.2,33,80,24,68
