Player,GP,BLK,HIT,TAKE,GIVE
Valeri Nichushkin,43,21,55,7,42
Brandt Clarke,78,121,23,24,63
Max Domi,74,30,32,21,69
Christian Dvorak,82,74,44,18,66
Aaron Ekblad,56,64,90,23,57
Mattias Ekholm,65,95,42,35,83
Filip Hronek,61,75,89,14,74
Jesperi Kotkaniemi,78,28,66,18,64
Patrik Laine,52,28,26,13,38
Mason Lohrei,77,103,25,36,104
Darnell Nurse,76,136,161,16,69
Alex Pietrangelo,71,139,41,25,106
Ivan Provorov,82,127,28,29,120
Cole Sillinger,66,36,74,21,50
Brady Skjei,82,93,52,32,101
Vladimir Tarasenko,80,35,63,16,61
Mikael Backlund,76,51,41,35,68
J.T. Compher,76,64,29,17,49
Luke Evangelista,68,13,28,16,37
Justin Faulk,78,108,82,28,100
Mathieu Olivier,82,80,306,22,49
Eric Robinson,82,16,123,9,42
Evan Rodrigues,82,23,128,21,62
Yegor Sharangovich,73,31,14,17,51
Jared Spurgeon,66,119,53,22,52
Trevor Zegras,57,27,50,13,51
Rasmus Andersson,81,196,36,30,107
Simon Edvinsson,78,144,86,26,91
Gustav Forsling,80,89,83,37,72
Alex Iafallo,82,61,53,26,30
Mike Matheson,80,168,60,43,107
Ryan McDonagh,82,152,23,24,115
Ryan Poehling,68,79,26,11,43
Nicolas Roy,71,47,72,20,58
Mackie Samoskevich,72,32,134,9,46
Scott Laughton,80,54,178,19,59
Yanni Gourde,57,36,109,16,38
Connor Brown,82,37,19,26,55
Vladislav Gavrikov,82,140,50,22,69
Keegan Kolesar,82,49,237,13,34
Chris Kreider,68,26,79,9,39
Kris Letang,74,100,120,37,100
Corey Perry,81,26,36,13,44
Rasmus Sandin,82,122,91,26,71
Travis Sanheim,82,170,84,51,127
Alex Vlasic,82,157,59,53,97
Brandon Saad,72,21,12,21,55
Joel Armia,81,35,87,19,48
Philip Broberg,68,103,43,22,103
Brent Burns,82,98,11,36,104
Ross Colton,61,42,145,15,47
Oliver Ekman-Larsson,77,83,108,28,95
Joel Eriksson Ek,46,36,82,14,34
Brock Faber,78,115,36,29,109
Marcus Foligno,77,49,253,20,48
William Karlsson,53,37,20,14,50
Michael Kesselring,82,67,87,22,84
Victor Olofsson,56,19,26,8,25
Jeff Skinner,72,23,45,19,41
Danton Heinen,79,37,81,19,48
Marcus Pettersson,78,144,80,32,88
Zach Benson,75,29,35,19,41
Alexander Kerfoot,81,67,59,30,78
Peyton Krebs,81,32,136,10,46
Adam Larsson,82,148,104,33,55
Andrew Mangiapane,81,30,74,11,49
Dmitry Orlov,76,60,101,21,98
Ondřej Palát,77,58,124,24,56
Jordan Spence,79,77,80,15,72
Kevin Stenlund,82,64,50,16,50
Gustav Nyquist,79,30,44,19,59
Michael Amadio,72,44,108,24,36
Josh Anderson,81,39,176,17,36
Viktor Arvidsson,67,23,32,15,67
Nic Dowd,82,82,128,32,51
Adam Henrique,81,85,58,19,57
Jack McBain,82,50,291,16,63
K'Andre Miller,74,110,107,47,97
Tanner Pearson,78,45,96,15,46
Taylor Raddysh,80,28,59,11,44
Jaccob Slavin,80,136,21,61,78
Connor Zary,54,26,26,10,40
Teddy Blueger,82,43,104,22,50
Jordan Eberle,42,25,13,21,28
Dante Fabbro,68,143,67,24,78
Adam Gaudette,81,28,68,8,38
Ryan Hartman,69,41,73,21,66
Esa Lindell,80,170,50,30,109
Frank Nazar,53,35,30,8,57
Alex Newhook,82,32,89,15,38
Filip Chytil,56,13,19,15,36
Mavrik Bourque,73,37,46,12,39
Ryker Evans,73,106,123,12,73
Martin Fehérváry,81,150,139,11,61
Miro Heiskanen,50,85,17,28,67
Nils Höglander,72,23,76,13,36
Brett Kulak,82,118,28,23,81
Martin Pospisil,81,26,301,17,53
Damon Severson,70,104,43,28,85
Sam Steel,79,26,60,13,41
Alex Turcotte,68,30,46,9,39
Anthony Beauvillier,81,36,139,15,29
Joel Farabee,81,50,94,19,64
Alexandre Carrier,79,169,75,22,64
Drew O'Connor,84,57,83,36,61
Michael Anderson,77,124,119,22,57
Jonatan Berggren,75,16,41,11,31
Samuel Girard,73,111,62,24,86
Jiri Kulich,62,36,40,15,33
Eetu Luostarinen,80,60,183,20,43
Tyler Myers,71,125,87,31,61
Vasily Podkolzin,82,53,211,20,55
Matt Roy,69,113,114,15,91
Philip Tomasino,61,23,63,17,32
Cody Ceci,85,155,76,23,77
Jesper Boqvist,78,27,191,18,33
Andrew Copp,56,35,9,18,37
Kevin Hayes,64,11,52,14,33
Joel Kiviranta,79,38,114,17,36
Charlie McAvoy,50,81,89,26,72
Jake McCabe,66,135,118,9,83
Ryan Pulock,74,155,100,32,78
Mason Appleton,71,29,76,15,38
Paul Cotter,79,32,245,17,39
Kirby Dach,57,36,100,10,39
Niko Mikkola,76,88,137,15,99
Thomas Novak,54,26,6,12,48
Lukas Reichel,70,29,24,13,36
Nicholas Robertson,69,33,79,17,26
Nikita Zadorov,81,107,219,25,104
Justin Brazeau,76,38,123,14,43
Ryan Lindgren,72,128,80,12,72
Brandon Tanev,79,105,168,23,52
Brian Dumoulin,80,109,74,28,53
Lars Eller,80,35,57,16,50
Cody Glass,65,38,53,12,32
Erik Černák,76,99,157,20,41
Justin Danforth,61,49,126,8,26
Brandon Duhaime,82,65,165,12,38
Garnet Hathaway,67,61,257,8,27
Erik Haula,69,35,101,14,44
Nick Jensen,71,95,55,19,81
Jacob Middleton,67,157,99,21,64
Logan O'Connor,80,50,68,17,32
Adam Pelech,60,87,73,36,58
Michael Rasmussen,77,59,141,10,42
Braden Schneider,80,145,146,19,96
Tyler Seguin,20,6,5,4,13
Colton Sissons,72,67,100,20,32
Trevor van Riemsdyk,82,151,10,25,57
Kevin Bahl,73,116,109,24,85
Mathew Barzal,30,24,24,10,36
Jonas Brodin,50,104,27,21,53
Sam Carrick,80,42,137,16,52
Jamie Drysdale,70,102,18,20,73
Joel Edmundson,73,108,100,23,62
Gage Goncalves,60,20,71,18,35
Blake Lizotte,59,29,60,10,36
Brayden McNabb,82,167,131,21,79
Alexander Romanov,64,165,147,24,81
Dylan Samberg,60,120,56,33,64
Nick Seeler,77,200,125,23,85
Oskar Sundqvist,67,53,78,19,41
Olen Zellweger,62,72,37,21,61
Nikolai Kovalenko,57,24,84,16,40
