0,1,2,Player,Salary
Ryan,Nugent-Hopkins,5125000,Ryan Nugent-Hopkins,5.125
Rasmus,Ristolainen,5100000,Rasmus Ristolainen,5.1
J.T.,Compher,5100000,J.T. Compher,5.1
Kyle,Palmieri,5000000,Kyle Palmieri,5
Reilly,Smith,5000000,Reilly Smith,5
Mikael,Granlund,5000000,Mikael Granlund,5
Jason,Zucker,5000000,Jason Zucker,5
Ryan,Strome,5000000,Ryan Strome,5
Rickard,Rakell,5000000,Rickard Rakell,5
Jean-Gabriel,Pageau,5000000,Jean-Gabriel Pageau,5
Ivan,Barbashev,5000000,Ivan Barbashev,5
Alexander,Wennberg,5000000,Alexander Wennberg,5
Nikita,Zadorov,5000000,Nikita Zadorov,5
Jared,McCann,5000000,Jared McCann,5
Dylan,Strome,5000000,Dylan Strome,5
Samuel,Girard,5000000,Samuel Girard,5
Joel,Farabee,5000000,Joel Farabee,5
Anton,Lundell,5000000,Anton Lundell,5
Drake,Batherson,4975000,Drake Batherson,4.975
Conor,Garland,4950000,Conor Garland,4.95
Blake,Coleman,4900000,Blake Coleman,4.9
Dylan,Demelo,4900000,Dylan Demelo,4.9
Mike,Matheson,4875000,Mike Matheson,4.875
Jesperi,Kotkaniemi,4820000,Jesperi Kotkaniemi,4.82
Ilya,Mikheyev,4750000,Ilya Mikheyev,4.75
Jordan,Eberle,4750000,Jordan Eberle,4.75
Ben,Chiarot,4750000,Ben Chiarot,4.75
Vladimir,Tarasenko,4750000,Vladimir Tarasenko,4.75
Alex,Tuch,4750000,Alex Tuch,4.75
Pavel,Zacha,4750000,Pavel Zacha,4.75
Jamie,Oleksiak,4600000,Jamie Oleksiak,4.6
Jakob,Chychrun,4600000,Jakob Chychrun,4.6
Rasmus,Sandin,4600000,Rasmus Sandin,4.6
Alex,Vlasic,4600000,Alex Vlasic,4.6
Artyom,Zub,4600000,Artyom Zub,4.6
Philip,Broberg,4580917,Philip Broberg,4.580917
Rasmus,Andersson,4550000,Rasmus Andersson,4.55
Nick,Foligno,4500000,Nick Foligno,4.5
Mikael,Backlund,4500000,Mikael Backlund,4.5
Ryan,O'Reilly,4500000,Ryan O'Reilly,4.5
Christopher,Tanev,4500000,Christopher Tanev,4.5
Josh,Manson,4500000,Josh Manson,4.5
Ryan,Graves,4500000,Ryan Graves,4.5
Artturi,Lehkonen,4500000,Artturi Lehkonen,4.5
Michael,Bunting,4500000,Michael Bunting,4.5
Mason,Marchment,4500000,Mason Marchment,4.5
Ryan,Lindgren,4500000,Ryan Lindgren,4.5
Christian,Dvorak,4450000,Christian Dvorak,4.45
Filip,Chytil,4437500,Filip Chytil,4.4375
Sam,Bennett,4425000,Sam Bennett,4.425
Connor,Murphy,4400000,Connor Murphy,4.4
John,Marino,4400000,John Marino,4.4
Lawson,Crouse,4300000,Lawson Crouse,4.3
Mattias,Samuelsson,4285714,Mattias Samuelsson,4.285714
Jason,Dickinson,4250000,Jason Dickinson,4.25
Trevor,Moore,4200000,Trevor Moore,4.2
Carter,Verhaeghe,4166667,Carter Verhaeghe,4.166667
Mats,Zuccarello,4125000,Mats Zuccarello,4.125
Mikey,Anderson,4125000,Mikey Anderson,4.125
Brandon,Carlo,4100000,Brandon Carlo,4.1
Nick,Jensen,4050000,Nick Jensen,4.05
Marcus,Pettersson,4025175,Marcus Pettersson,4.025175
Patrick,Kane,4000000,Patrick Kane,4
David,Perron,4000000,David Perron,4
Alec,Martinez,4000000,Alec Martinez,4
Nick,Leddy,4000000,Nick Leddy,4
Marcus,Foligno,4000000,Marcus Foligno,4
Erik,Gudbranson,4000000,Erik Gudbranson,4
Nino,Niederreiter,4000000,Nino Niederreiter,4
Radko,Gudas,4000000,Radko Gudas,4
Brenden,Dillon,4000000,Brenden Dillon,4
Adam,Larsson,4000000,Adam Larsson,4
Jake,McCabe,4000000,Jake McCabe,4
Ryan,Hartman,4000000,Ryan Hartman,4
Robby,Fabbri,4000000,Robby Fabbri,4
Viktor,Arvidsson,4000000,Viktor Arvidsson,4
Ross,Colton,4000000,Ross Colton,4
Alex,Iafallo,4000000,Alex Iafallo,4
Noah,Dobson,4000000,Noah Dobson,4
Thomas,Harley,4000000,Thomas Harley,4
Dawson,Mercer,4000000,Dawson Mercer,4
Evan,Bouchard,3900000,Evan Bouchard,3.9
K'Andre,Miller,3872000,K'Andre Miller,3.872
Kirill,Marchenko,3850000,Kirill Marchenko,3.85
Bowen,Byram,3850000,Bowen Byram,3.85
Joel,Edmundson,3850000,Joel Edmundson,3.85
Boone,Jenner,3750000,Boone Jenner,3.75
Matt,Dumba,3750000,Matt Dumba,3.75
Max,Domi,3750000,Max Domi,3.75
Alexandre,Carrier,3750000,Alexandre Carrier,3.75
Shane,Pinto,3750000,Shane Pinto,3.75
Frank,Vatrano,3650000,Frank Vatrano,3.65
Barclay,Goodrow,3641667,Barclay Goodrow,3.641667
Sean,Walker,3600000,Sean Walker,3.6
Oliver,Ekman-Larsson,3500000,Oliver Ekman-Larsson,3.5
David,Savard,3500000,David Savard,3.5
Scott,Mayfield,3500000,Scott Mayfield,3.5
Alexander,Kerfoot,3500000,Alexander Kerfoot,3.5
Anthony,Duclair,3500000,Anthony Duclair,3.5
Anthony,Mantha,3500000,Anthony Mantha,3.5
Warren,Foegele,3500000,Warren Foegele,3.5
Yakov,Trenin,3500000,Yakov Trenin,3.5
Thomas,Novak,3500000,Thomas Novak,3.5
Brandon,Tanev,3500000,Brandon Tanev,3.5
Eeli,Tolvanen,3475000,Eeli Tolvanen,3.475
Gabriel,Vilardi,3437500,Gabriel Vilardi,3.4375
Matias,Maccelli,3425000,Matias Maccelli,3.425
Justin,Holl,3400000,Justin Holl,3.4
Joel,Armia,3400000,Joel Armia,3.4
Jake,Walman,3400000,Jake Walman,3.4
Jonas,Siegenthaler,3400000,Jonas Siegenthaler,3.4
Aliaksei,Protas,3375000,Aliaksei Protas,3.375
Janis Jérôme,Moser,3375000,Janis Jérôme Moser,3.375
Kirby,Dach,3362500,Kirby Dach,3.3625
Connor,Clifton,3333333,Connor Clifton,3.333333
Mario,Ferraro,3250000,Mario Ferraro,3.25
Ilya,Lyubushkin,3250000,Ilya Lyubushkin,3.25
Cole,Perfetti,3250000,Cole Perfetti,3.25
Adam,Lowry,3250000,Adam Lowry,3.25
Radek,Faksa,3250000,Radek Faksa,3.25
Cody,Ceci,3250000,Cody Ceci,3.25
Carson,Soucy,3250000,Carson Soucy,3.25
Dakota,Joshua,3250000,Dakota Joshua,3.25
Shayne,Gostisbehere,3200000,Shayne Gostisbehere,3.2
Michael,Rasmussen,3200000,Michael Rasmussen,3.2
Gustav,Nyquist,3185000,Gustav Nyquist,3.185
Brian,Dumoulin,3150000,Brian Dumoulin,3.15
Erik,Haula,3150000,Erik Haula,3.15
Nick,Paul,3150000,Nick Paul,3.15
Ian,Cole,3100000,Ian Cole,3.1
Henri,Jokiharju,3100000,Henri Jokiharju,3.1
Yegor,Sharangovich,3100000,Yegor Sharangovich,3.1
Jordan,Martinook,3050000,Jordan Martinook,3.05
Adam,Henrique,3000000,Adam Henrique,3
Matt,Duchene,3000000,Matt Duchene,3
Tyler,Myers,3000000,Tyler Myers,3
Jeff,Skinner,3000000,Jeff Skinner,3
Scott,Laughton,3000000,Scott Laughton,3
Olli,Maatta,3000000,Olli Maatta,3
Trevor,van Riemsdyk,3000000,Trevor van Riemsdyk,3
Evan,Rodrigues,3000000,Evan Rodrigues,3
Jordan,Greenway,3000000,Jordan Greenway,3
Nicolas,Roy,3000000,Nicolas Roy,3
Jalen,Chatfield,3000000,Jalen Chatfield,3
Timothy,Liljegren,3000000,Timothy Liljegren,3
Eetu,Luostarinen,3000000,Eetu Luostarinen,3
Pierre,Engvall,3000000,Pierre Engvall,3
Mathieu,Joseph,2950000,Mathieu Joseph,2.95
Jordan,Staal,2900000,Jordan Staal,2.9
Alex,Newhook,2900000,Alex Newhook,2.9
Colton,Sissons,2857143,Colton Sissons,2.857143
Brayden,McNabb,2850000,Brayden McNabb,2.85
Jack,Roslovic,2800000,Jack Roslovic,2.8
Luke,Schenn,2750000,Luke Schenn,2.75
Stefan,Noesen,2750000,Stefan Noesen,2.75
Brock,McGinn,2750000,Brock McGinn,2.75
